country_alpha3,suffix,category
AUS,.aus,TLD
AUS,.gov.au,GOV
AUS,.csiro.au,GOV
AUS,.edu.au,EDU
IND,.in,TLD
IND,.gov.in,GOV
IND,.nic.in,GOV
IND,.res.in,GOV
IND,.mil.in,GOV
IND,.edu.in,EDU
IND,.ac.in,EDU
KEN,.ke,TLD
KEN,.go.ke,GOV
KEN,.sc.ke,EDU
KEN,.ac.ke,EDU
PHL,.ph,TLD
PHL,.gov.ph,GOV
PHL,.mil.ph,GOV
PHL,.edu.ph,EDU
GBR,.uk,TLD
GBR,.gov.uk,GOV
GBR,.parliament.uk,GOV
GBR,.judiciary.uk,GOV
GBR,.mod.uk,GOV
GBR,.mil.uk,GOV
GBR,.nhs.uk,GOV
GBR,.police.uk,GOV
GBR,.royal.uk,GOV
GBR,.sch.uk,EDU
GBR,.ac.uk,EDU
GBR,.gov.scot,GOV
GBR,.parliament.scot,GOV
GBR,.judiciary.scot,GOV
GBR,.edu.scot,EDU
GBR,.gov.wales,GOV
ZAF,.za,TLD
ZAF,.gov.za,GOV
ZAF,.mil.za,GOV
ZAF,.city.za,GOV
ZAF,.imt.za,GOV
ZAF,.ac.za,EDU
ZAF,.edu.za,EDU
ZAF,.school.za,EDU
USA,.us,TLD
USA,.gov,GOV
USA,.mil,GOV
USA,.fed.us,GOV
USA,.isa.us,GOV
USA,.nsn.us,GOV
USA,.dni.us,GOV
USA,.ak.us,GOV
USA,.al.us,GOV
USA,.ar.us,GOV
USA,.as.us,GOV
USA,.az.us,GOV
USA,.ca.us,GOV
USA,.co.us,GOV
USA,.ct.us,GOV
USA,.dc.us,GOV
USA,.de.us,GOV
USA,.fl.us,GOV
USA,.ga.us,GOV
USA,.gu.us,GOV
USA,.hi.us,GOV
USA,.ia.us,GOV
USA,.id.us,GOV
USA,.il.us,GOV
USA,.in.us,GOV
USA,.ks.us,GOV
USA,.ky.us,GOV
USA,.la.us,GOV
USA,.ma.us,GOV
USA,.md.us,GOV
USA,.me.us,GOV
USA,.mi.us,GOV
USA,.mn.us,GOV
USA,.mo.us,GOV
USA,.ms.us,GOV
USA,.mt.us,GOV
USA,.nc.us,GOV
USA,.nd.us,GOV
USA,.ne.us,GOV
USA,.nh.us,GOV
USA,.nj.us,GOV
USA,.nm.us,GOV
USA,.nv.us,GOV
USA,.ny.us,GOV
USA,.oh.us,GOV
USA,.ok.us,GOV
