domain,category,inlinks
abc.net.au,Domestic News,4808
news.com.au,Domestic News,4636
myfairfax.com.au,Other,3049
foxsports.com.au,Domestic News,2642
theguardian.com,Foreign News,2614
smh.com.au,Domestic News,1451
realestate.com.au,Other,1200
sportingnews.com,Foreign News,1113
independentaustralia.net,Domestic News,933
thenewdaily.com.au,Domestic News,795
twitter.com,Platform,780
kayosports.com.au,Domestic News,764
theconversation.com,Foreign News,763
justhorseracing.com.au,Domestic News,640
huffpost.com,Foreign News,542
afr.com,Domestic News,538
theage.com.au,Domestic News,525
wikipedia.org,Other,439
dailytelegraph.com.au,Domestic News,425
heraldsun.com.au,Domestic News,359
facebook.com,Platform,356
jta.org,Foreign News,314
huffingtonpost.com.au,Domestic News,293
doi.org,Other,293
youtube.com,Platform,290
sportsnews.com.au,Domestic News,286
nytimes.com,Foreign News,286
instagram.com,Platform,258
theaustralian.com.au,Domestic News,250
apple.com,Other,211
brisbanetimes.com.au,Domestic News,209
nsw.gov.au,Government,180
aph.gov.au,Government,172
thesun.co.uk,Foreign News,163
whooshkaa.com,Other,152
spotify.com,Platform,152
foxtel.com.au,Other,147
washingtonpost.com,Foreign News,137
couriermail.com.au,Domestic News,127
espncricinfo.com,Foreign News,121
huffingtonpost.co.uk,Foreign News,116
abs.gov.au,Government,116
campusreview.com.au,Domestic News,112
microsoft.com,Other,112
businessnewsaus.com.au,Domestic News,106
cnn.com,Foreign News,106
nypost.com,Foreign News,102
dailymail.co.uk,Foreign News,102
nih.gov,Foreign Government,101
crikey.com.au,Domestic News,95
news24.com,Foreign News,92
queenslandcountrylife.com.au,Domestic News,90
nba.com,Other,88
bbc.com,Foreign News,86
guim.co.uk,Other,83
reuters.com,Foreign News,76
linkedin.com,Platform,76
adelaidenow.com.au,Domestic News,75
beyondblue.org.au,Other,72
lifeline.org.au,Other,72
cbc.ca,Foreign News,70
geelongadvertiser.com.au,Domestic News,68
who.int,Other,66
sbs.com.au,Domestic News,65
tradingeconomics.com,Other,64
google.com,Search Engine,62
health.gov.au,Government,61
sciencedirect.com,Foreign News,59
pagesix.com,Foreign News,58
weeklytimesnow.com.au,Domestic News,56
nature.com,Foreign News,56
wiley.com,Other,54
greenleft.org.au,Domestic News,53
cdc.gov,Foreign Government,53
canberratimes.com.au,Domestic News,52
farmonline.com.au,Domestic News,51
escape.com.au,Domestic News,51
7news.com.au,Domestic News,49
amzn.to,Other,49
fivethirtyeight.com,Foreign News,48
dhhs.vic.gov.au,Government,48
bit.ly,Platform,48
punters.com.au,Domestic News,46
politico.com,Foreign News,45
nbcnews.com,Foreign News,44
espn.com,Foreign News,42
nt.gov.au,Government,42
racingnsw.com.au,Other,42
usatoday.com,Foreign News,40
realclearpolitics.com,Foreign News,40
npr.org,Foreign News,40
timesofisrael.com,Foreign News,40
tiktok.com,Platform,40
time.com,Foreign News,39
yahoo.com,Search Engine,39
sport24.co.za,Foreign News,38
arena.im,Other,37
nine.com.au,Domestic News,36
aljazeera.com,Foreign News,36
foxnews.com,Foreign News,36
skysports.com,Foreign News,36
wsj.com,Foreign News,36
jhu.edu,Other,35
journals.sagepub.com,Other,35
stockandland.com.au,Other,34
goodfruitandvegetables.com.au,Domestic News,33
bloomberg.com,Foreign News,33
pm.gov.au,Government,33
myjewishlearning.com,Other,33
9news.com.au,Domestic News,32
watoday.com.au,Domestic News,32
cnbc.com,Foreign News,32
treasury.gov.au,Government,32
nzherald.co.nz,Foreign News,31
the-sun.com,Foreign News,31
ft.com,Foreign News,31
imdb.com,Other,31
skynews.com.au,Domestic News,30
themercury.com.au,Domestic News,30
theland.com.au,Domestic News,30
noise11.com,Domestic News,29
farmweekly.com.au,Domestic News,29
forbes.com,Foreign News,29
bmj.com,Other,29
qut.edu.au,Other,29
zerotackle.com,Domestic News,28
theatlantic.com,Foreign News,28
apnews.com,Foreign News,27
latimes.com,Foreign News,27
sciencemag.org,Foreign News,27
globalnews.ca,Foreign News,27
www.qld.gov.au,Government,27
tandfonline.com,Other,27
oup.com,Other,27
sportsbetaffiliates.com.au,Other,27
triplem.com.au,Other,27
thetimes.co.uk,Foreign News,26
thelancet.com,Other,26
medium.com,Platform,26
aap.com.au,Domestic News,25
newsapi.com.au,Domestic News,25
theshovel.com.au,Domestic News,25
vox.com,Foreign News,25
nrl.com,Other,25
whimn.com.au,Domestic News,24
telegraph.co.uk,Foreign News,24
aporrea.org,Foreign News,24
act.gov.au,Government,24
industry.gov.au,Government,24
parliament.qld.gov.au,Government,24
nla.gov.au,Government,24
tai.org.au,Other,24
jstor.org,Other,24
bbc.co.uk,Foreign News,23
rsf.org,Foreign News,23
britannica.com,Other,23
change.org,Other,23
booktopia.com.au,Other,23
gofundme.com,Other,23
crimestoppersvic.com.au,Other,23
nteu.org.au,Other,23
thewest.com.au,Domestic News,22
vice.com,Foreign News,22
variety.com,Foreign News,22
huffingtonpost.ca,Foreign News,22
commondreams.org,Foreign News,22
accc.gov.au,Government,22
servicesaustralia.gov.au,Government,22
medrxiv.org,Other,22
springer.com,Other,22
independent.co.uk,Foreign News,21
mimecast.com,Other,21
austlii.edu.au,Other,21
un.org,Other,21
pewresearch.org,Other,21
abc.us3.list-manage.com,Other,21
legislation.gov.au,Government,20
unimelb.edu.au,Other,20
subscribepage.com,Other,20
proofpoint.com,Other,19
