domain,category,inlinks
standardmedia.co.ke,Domestic News,5085
news24.com,Foreign News,1300
twitter.com,Platform,1057
kahawatungu.com,Domestic News,501
youtube.com,Platform,282
ghafla.com,Domestic News,281
thenewhumanitarian.org,Foreign News,240
google.com,Search Engine,195
sport24.co.za,Foreign News,193
poll.fm,Other,166
instagram.com,Platform,141
mpasho.co.ke,Domestic News,106
theconversation.com,Foreign News,89
kenya-today.com,Domestic News,86
nation.co.ke,Domestic News,82
capitalfm.co.ke,Domestic News,79
sde.co.ke,Domestic News,78
lionstour2021.co.za,Other,74
fin24.com,Foreign News,70
citizentv.co.ke,Domestic News,58
reliefweb.int,Other,45
reuters.com,Foreign News,40
cnn.com,Foreign News,35
businessinsider.co.za,Foreign News,35
who.int,Other,34
mumsvillage.com,Other,34
bit.ly,Platform,34
everlytic.net,Other,33
enewskenya.blogspot.com,Domestic News,31
facebook.com,Platform,31
kdrtv.co.ke,Domestic News,30
bbc.co.uk,Foreign News,30
