domain,category,inlinks
inquirer.net,Domestic News,8435
philstar.com,Domestic News,2351
mb.com.ph,Domestic News,2311
facebook.com,Platform,725
abs-cbn.com,Domestic News,664
twitter.com,Platform,334
cnnphilippines.com,Domestic News,284
paymaya.com,Other,269
cnn.com,Foreign News,196
manilastandard.net,Domestic News,176
abante.com.ph,Domestic News,101
interaksyon.com,Domestic News,86
instagram.com,Platform,83
bit.ly,Platform,83
bulatlat.com,Domestic News,77
youtube.com,Platform,77
google.com,Search Engine,47
eaglenews.ph,Domestic News,40
theconversation.com,Foreign News,40
gmanetwork.com,Domestic News,37
untvweb.com,Domestic News,32
gmail.com,Other,29
doi.org,Other,27
dost.gov.ph,Government,26
sciencedirect.com,Other,25
globe.com.ph,Domestic News,24
bworldonline.com,Domestic News,24
spotify.com,Other,24
c212.net,Other,24
doh.gov.ph,Government,23
pinasglobal.com,Domestic News,20
onefc.com,Other,20
rappler.com,Domestic News,18
bloomberg.com,Foreign News,18
officialgazette.gov.ph,Government,18
cnn.ph,Domestic News,16
shopee.ph,Other,15
reuters.com,Foreign News,14
news24.com,Foreign News,14
netflix.com,Other,14
businessmirror.com.ph,Domestic News,13
