domain,category,inlinks
capetalk.co.za,Domestic News,3626
google.com,Search Engine,1871
apple.com,Other,1845
twitter.com,Platform,1789
southafricatoday.net,Domestic News,1289
ewn.co.za,Domestic News,1225
facebook.com,Platform,1199
bit.ly,Platform,1065
gardenandhome.co.za,Domestic News,1043
instagram.com,Platform,1030
apple.co,Other,981
enca.com,Domestic News,947
news24.com,Domestic News,644
citizen.co.za,Domestic News,611
bbc.co.uk,Foreign News,609
dailymaverick.co.za,Domestic News,598
rekordeast.co.za,Domestic News,544
nytimes.com,Foreign News,493
timeslive.co.za,Domestic News,466
groupeditors.com,Domestic News,443
disqus.com,Other,415
iol.co.za,Domestic News,390
cnn.com,Foreign News,352
businesstech.co.za,Domestic News,336
theguardian.com,Foreign News,312
mg.co.za,Domestic News,311
sabcnews.com,Domestic News,284
youtube.com,Platform,267
theconversation.com,Foreign News,261
rekordcenturion.co.za,Domestic News,251
lowvelder.co.za,Domestic News,240
highwaymail.co.za,Domestic News,234
rekordnorth.co.za,Domestic News,231
mybroadband.co.za,Other,229
rekordmoot.co.za,Domestic News,228
bloomberg.com,Foreign News,228
sacoronavirus.co.za,Domestic News,211
wikipedia.org,Other,208
sputniknews.com,Foreign News,205
thesouthafrican.com,Domestic News,188
sport24.co.za,Domestic News,183
moneyweb.co.za,Domestic News,171
germistoncitynews.co.za,Domestic News,167
aljazeera.com,Foreign News,163
ladysmithgazette.co.za,Domestic News,158
wheels24.co.za,Domestic News,154
boksburgadvertiser.co.za,Domestic News,147
groundup.org.za,Domestic News,144
benonicitytimes.co.za,Domestic News,143
bedfordviewedenvalenews.co.za,Domestic News,141
northglennews.co.za,Domestic News,137
saps.gov.za,Government,136
hsf.org.za,Other,133
southcoastherald.co.za,Domestic News,132
wired.com,Foreign News,132
bereamail.co.za,Domestic News,124
mongabay.com,Foreign News,121
reuters.com,Foreign News,119
sundayworld.co.za,Domestic News,116
health24.com,Domestic News,113
alexnews.co.za,Domestic News,102
lionstour2021.co.za,Other,102
npr.org,Foreign News,100
itweb.co.za,Domestic News,94
nih.gov,Foreign Government,94
who.int,Other,94
mimecast.com,Other,94
pinterest.com,Platform,88
springsadvertiser.co.za,Domestic News,84
slashdot.org,Foreign News,80
zululandobserver.co.za,Domestic News,76
risingsunchatsworth.co.za,Domestic News,72
fin24.com,Domestic News,71
sandtonchronicle.co.za,Domestic News,69
guzzle.co.za,Other,68
www.gov.za,Government,67
southcoastsun.co.za,Domestic News,66
nature.com,Foreign News,65
bbc.com,Foreign News,65
africanreporter.co.za,Domestic News,64
observer.co.za,Domestic News,64
702.co.za,Domestic News,63
kemptonexpress.co.za,Domestic News,61
mayoclinic.org,Other,61
linkedin.com,Platform,58
northeasterntribune.co.za,Domestic News,56
doi.org,Other,55
peadig.com,Other,53
heraldlive.co.za,Domestic News,52
northernnatalnews.co.za,Domestic News,48
reviewonline.co.za,Domestic News,48
spotlightnsp.co.za,Domestic News,48
whatsapp.com,Platform,48
rosebankkillarneygazette.co.za,Domestic News,46
tiktok.com,Platform,43
sowetanlive.co.za,Domestic News,42
htxt.co.za,Domestic News,40
issafrica.org,Other,40
dispatchlive.co.za,Domestic News,39
eatout.co.za,Domestic News,38
videojs.com,Other,38
albertonrecord.co.za,Domestic News,37
sciencemag.org,Foreign News,37
telegraph.co.uk,Foreign News,37
un.org,Other,37
businessinsider.co.za,Domestic News,36
eskom.co.za,Other,36
jotform.com,Other,36
all4women.co.za,Domestic News,35
businesslive.co.za,Domestic News,35
vocfm.co.za,Domestic News,35
cdc.gov,Foreign Government,35
yourdiamonds.co.za,Other,35
voteda.org,Other,35
southlandssun.co.za,Domestic News,34
westerncape.gov.za,Government,34
showmax.com,Other,34
sourceforge.net,Other,34
www.gov.uk,Foreign Government,33
krispykremesa.com,Other,33
amazon.com,Other,33
orderin.co.za,Other,33
fourwaysreview.co.za,Domestic News,32
treasury.gov.za,Government,32
iono.fm,Other,32
juliethedietitian.com,Other,32
weathersa.co.za,Domestic News,31
midrandreporter.co.za,Domestic News,31
newcastleadvertiser.co.za,Domestic News,30
sciencedirect.com,Foreign News,30
budgetinsurance.co.za,Other,30
bestproducts.com,Other,30
wimpy.co.za,Other,30
marklives.com,Domestic News,29
plascon.com,Other,29
leemoon.co.za,Other,29
wsj.com,Foreign News,28
techcrunch.com,Foreign News,28
creativecommons.org,Other,28
theverge.com,Foreign News,27
washingtonpost.com,Foreign News,27
worldbank.org,Other,27
nationallottery.co.za,Other,27
dailymail.co.uk,Foreign News,26
urldefense.com,Other,26
vaalweekblad.com,Domestic News,25
nasa.gov,Foreign Government,25
wiley.com,Other,25
researchgate.net,Other,25
saflii.org,Other,25
everlytic.net,Other,25
thelancet.com,Foreign News,24
zdnet.com,Foreign News,24
arstechnica.com,Foreign News,24
tandfonline.com,Other,24
scribd.com,Platform,24
europa.eu,Foreign Government,23
parliament.uk,Foreign Government,23
jhu.edu,Other,23
da.org.za,Other,23
forbes.com,Foreign News,22
cnbc.com,Foreign News,22
nbcnews.com,Foreign News,22
weforum.org,Other,22
oup.com,Other,22
spotify.com,Other,22
nejm.org,Foreign News,21
ehtrust.org,Other,21
traveller24.com,Domestic News,20
estcourtnews.co.za,Domestic News,20
amabhungane.org,Domestic News,20
service.gov.uk,Foreign Government,20
apnews.com,Foreign News,20
sanews.gov.za,Government,20
dwa.gov.za,Government,20
afristay.com,Other,20
newframe.com,Domestic News,19
independent.co.uk,Foreign News,19
real411.org.za,Other,19
